iter	RMSE
0	43.99718416
1	43.60225204
2	43.09345539
3	42.52266587
4	42.03787948
5	41.46335066
6	41.0547867
7	40.72246796
8	40.2504982
9	39.75119652
10	39.22490392
11	38.82819072
12	38.32269232
13	37.93750841
14	37.56561045
15	37.10486113
16	36.76785652
17	36.42900917
18	36.10285001
19	35.7130273
20	35.42298338
21	35.14250714
22	34.77984922
23	34.40916131
24	34.13869546
25	33.85607456
26	33.57889243
27	33.32193675
28	33.04523222
29	32.77644379
30	32.54643137
31	32.23804929
32	32.00362886
33	31.73369534
34	31.49564817
35	31.27316324
36	31.10919567
37	30.89504381
38	30.68684997
39	30.44371755
40	30.17967825
41	29.99309527
42	29.81042093
43	29.62054198
44	29.47478973
45	29.33026195
46	29.21189322
47	28.98413203
48	28.80677952
49	28.67236731
50	28.48333252
51	28.37653223
52	28.21574822
53	28.0504228
54	27.8830847
55	27.76886708
56	27.58207828
57	27.40176643
58	27.28767167
59	27.1612889
60	27.02087515
61	26.89831391
62	26.81390334
63	26.69342506
64	26.57696409
65	26.46378735
66	26.33025725
67	26.18149222
68	26.0857308
69	25.95835063
70	25.80966592
71	25.66081456
72	25.47136817
73	25.34374134
74	25.2031521
75	25.13916578
76	25.0152523
77	24.89587001
78	24.82524586
79	24.68062003
80	24.57906632
81	24.51329876
82	24.45819635
83	24.3368191
84	24.21407443
85	24.09613161
86	24.0179716
87	23.91515161
88	23.81091209
89	23.68454872
90	23.59662392
91	23.56324395
92	23.4252512
93	23.35291811
94	23.207182
95	23.09282191
96	23.00919067
97	22.97803591
98	22.89240572
99	22.7848422
100	22.75026411
101	22.68352818
102	22.59931645
103	22.50207477
104	22.43229978
105	22.31099514
106	22.21655726
107	22.11597685
108	22.04510671
109	22.00294181
110	21.93692289
111	21.87375224
112	21.81185578
113	21.76044971
114	21.68571347
115	21.65226661
116	21.57191591
117	21.52981249
118	21.44081291
119	21.37069052
120	21.29468839
121	21.24295583
122	21.18977132
123	21.12081113
124	21.04679304
125	21.00456163
126	20.97328058
127	20.91546381
128	20.83483479
129	20.76016291
130	20.68425215
131	20.6231066
132	20.54024825
133	20.45124428
134	20.38944911
135	20.33260555
136	20.2866012
137	20.23686917
138	20.22356286
139	20.16750686
140	20.10005014
141	20.03021687
142	20.0055024
143	19.9602531
144	19.89204085
145	19.79970869
146	19.74408424
147	19.69716532
148	19.62133076
149	19.57483919
150	19.50103035
151	19.46039683
152	19.40749778
153	19.37317539
154	19.29948092
155	19.23082847
156	19.17356588
157	19.12902816
158	19.04979582
159	19.02165383
160	18.94748343
161	18.88125874
162	18.84265076
163	18.77660427
164	18.74318743
165	18.67372191
166	18.57660224
167	18.53071791
168	18.41694773
169	18.34805115
170	18.31283842
171	18.25102123
172	18.19224221
173	18.1570331
174	18.12557937
175	18.0945328
176	18.06532951
177	18.00805806
178	17.92972184
179	17.8960176
180	17.87132621
181	17.85366337
182	17.81213948
183	17.75304067
184	17.69284435
185	17.63605964
186	17.60238076
187	17.55385469
188	17.52141053
189	17.46805694
190	17.41667275
191	17.39176336
192	17.31335984
193	17.19703819
194	17.16005226
195	17.11268847
196	17.01590997
197	16.99419895
198	16.94091027
199	16.92121979
200	16.89272211
201	16.8314507
202	16.80082416
203	16.76978575
204	16.73020319
205	16.6883847
206	16.661318
207	16.60236588
208	16.54025816
209	16.51936262
210	16.50219125
211	16.43610362
212	16.38225236
213	16.37534581
214	16.35752402
215	16.32344254
216	16.30084861
217	16.28827041
218	16.25698
219	16.20378824
220	16.14703406
221	16.08675624
222	16.04905879
223	16.02952322
224	16.00374759
225	15.94429865
226	15.93050959
227	15.87756937
228	15.82449566
229	15.81431074
230	15.76657632
231	15.69994384
232	15.65285304
233	15.61285278
234	15.58539609
235	15.55040068
236	15.50634973
237	15.47699
238	15.46616971
239	15.42865572
240	15.39091817
241	15.34717909
