iter	Passed	Remaining
0	58	58137
1	61	30822
2	65	21691
3	68	17158
4	72	14342
5	75	12525
6	79	11240
7	84	10427
8	91	10074
9	107	10671
10	123	11065
11	128	10580
12	136	10327
13	142	10029
14	147	9691
15	153	9426
16	157	9133
17	164	8980
18	168	8701
19	174	8527
20	178	8311
21	183	8153
22	187	7959
23	191	7788
24	195	7639
25	199	7488
26	203	7349
27	209	7276
28	215	7220
29	220	7125
30	224	7002
31	229	6944
32	233	6855
33	237	6758
34	241	6662
35	246	6610
36	252	6568
37	256	6491
38	262	6459
39	270	6492
40	274	6422
41	279	6366
42	282	6290
43	286	6219
44	290	6155
45	293	6084
46	296	6010
47	299	5941
48	302	5878
49	305	5811
50	308	5744
51	311	5679
52	314	5625
53	317	5565
54	320	5512
55	324	5463
56	327	5419
57	331	5378
58	334	5329
59	337	5290
60	340	5245
61	344	5210
62	347	5167
63	350	5125
64	353	5084
65	357	5054
66	361	5027
67	364	4992
68	367	4952
69	369	4915
70	372	4879
71	376	4858
72	379	4824
73	383	4798
74	387	4778
75	391	4759
76	394	4730
77	398	4706
78	402	4689
79	405	4662
80	408	4631
81	411	4603
82	414	4574
83	417	4553
84	421	4532
85	424	4508
86	427	4487
87	430	4464
88	434	4446
89	437	4425
90	447	4469
91	450	4445
92	454	4434
93	458	4419
94	461	4399
95	465	4387
96	469	4370
97	472	4349
98	476	4340
99	480	4320
100	482	4296
101	485	4276
102	488	4257
103	492	4240
104	496	4232
105	501	4227
106	504	4213
107	508	4203
108	512	4186
109	515	4167
110	518	4152
111	522	4139
112	525	4124
113	528	4106
114	531	4093
115	534	4076
116	537	4057
117	541	4044
118	544	4029
119	547	4012
120	550	4001
121	553	3983
122	556	3964
123	559	3949
124	561	3933
125	565	3921
126	568	3908
127	572	3899
128	576	3889
129	579	3879
130	582	3866
131	586	3854
132	589	3841
133	592	3827
134	595	3814
135	598	3800
136	601	3787
137	605	3779
138	609	3773
139	612	3763
140	616	3753
141	619	3741
142	622	3728
143	625	3718
144	628	3704
145	631	3691
146	634	3679
147	637	3667
148	640	3656
149	643	3644
150	645	3631
151	648	3619
152	651	3607
153	655	3602
154	661	3605
155	664	3595
156	667	3584
157	670	3572
158	673	3560
159	676	3549
160	678	3537
161	681	3526
162	685	3517
163	688	3509
164	691	3500
165	694	3489
166	697	3479
167	700	3467
168	702	3456
169	705	3446
170	708	3436
171	712	3428
172	715	3418
173	718	3409
174	721	3399
175	725	3396
176	728	3386
177	731	3377
178	735	3373
179	738	3366
180	742	3358
181	745	3350
182	748	3342
183	751	3333
184	754	3325
185	758	3320
186	761	3311
187	765	3304
188	768	3295
189	771	3288
190	774	3279
191	777	3271
192	780	3263
193	783	3254
194	786	3248
195	789	3239
196	792	3231
197	795	3223
198	798	3214
199	802	3209
200	805	3203
201	809	3197
202	812	3190
203	816	3185
204	819	3177
205	822	3171
206	827	3169
207	833	3172
208	836	3166
209	840	3161
210	843	3153
211	846	3146
212	849	3137
213	852	3131
214	855	3123
215	858	3116
216	861	3109
217	864	3102
218	867	3094
219	870	3086
220	874	3082
221	878	3077
222	881	3072
223	884	3065
224	888	3059
225	892	3056
226	895	3048
227	898	3040
228	901	3034
229	904	3026
230	907	3020
231	910	3012
232	913	3005
233	916	2998
234	918	2991
235	922	2985
236	924	2977
237	928	2973
238	931	2966
239	934	2959
240	937	2953
241	941	2949
242	944	2942
243	948	2937
244	951	2931
245	954	2924
246	956	2916
247	959	2910
248	962	2903
249	965	2895
250	968	2890
251	971	2883
252	974	2877
253	978	2874
254	981	2867
255	984	2861
256	987	2855
257	990	2849
258	993	2842
259	997	2838
260	1000	2833
261	1003	2827
262	1006	2820
263	1009	2815
264	1013	2810
265	1016	2803
266	1019	2797
267	1021	2791
268	1024	2784
269	1029	2782
270	1032	2777
271	1036	2773
272	1039	2768
273	1042	2763
274	1046	2759
275	1051	2757
276	1054	2752
277	1057	2746
278	1060	2740
279	1063	2734
280	1065	2725
281	1068	2720
282	1072	2718
283	1076	2713
284	1079	2709
285	1083	2704
286	1087	2700
287	1090	2695
288	1093	2690
289	1099	2691
290	1102	2687
291	1107	2685
292	1111	2681
293	1114	2676
294	1117	2670
295	1121	2666
296	1124	2660
297	1128	2659
298	1133	2657
299	1138	2655
300	1141	2651
301	1144	2646
302	1148	2641
303	1153	2640
304	1157	2638
305	1161	2634
306	1166	2633
307	1172	2634
308	1177	2633
309	1180	2628
310	1185	2626
311	1188	2621
312	1191	2615
313	1194	2610
314	1197	2604
315	1200	2598
316	1203	2593
317	1206	2587
318	1209	2581
319	1212	2576
320	1215	2571
321	1218	2566
322	1221	2560
323	1224	2555
324	1227	2549
325	1230	2543
326	1233	2538
327	1235	2532
328	1238	2526
329	1242	2521
330	1245	2516
331	1247	2511
332	1251	2505
333	1254	2501
334	1258	2497
335	1262	2494
336	1265	2489
337	1268	2484
338	1273	2482
339	1277	2480
340	1281	2476
341	1285	2472
342	1288	2467
343	1291	2462
344	1294	2456
345	1296	2451
346	1300	2448
347	1304	2443
348	1307	2438
349	1310	2433
350	1313	2428
351	1316	2424
352	1320	2419
353	1323	2415
354	1326	2410
355	1329	2405
356	1332	2400
357	1336	2396
358	1339	2391
359	1342	2386
360	1345	2381
361	1348	2376
362	1351	2371
363	1354	2367
364	1357	2362
365	1360	2357
366	1364	2353
367	1367	2348
368	1370	2343
369	1373	2338
370	1376	2333
371	1379	2328
372	1382	2323
373	1385	2318
374	1388	2314
375	1391	2309
376	1394	2304
377	1398	2300
378	1400	2295
379	1403	2290
380	1406	2285
381	1410	2281
382	1415	2279
383	1418	2275
384	1421	2270
385	1424	2265
386	1427	2260
387	1429	2255
388	1434	2252
389	1438	2249
390	1441	2245
391	1446	2242
392	1449	2239
393	1454	2237
394	1458	2234
395	1463	2232
396	1466	2227
397	1470	2224
398	1474	2220
399	1476	2215
400	1480	2211
401	1482	2206
402	1486	2202
403	1489	2197
404	1492	2193
405	1496	2188
406	1498	2184
407	1501	2178
408	1505	2174
409	1508	2170
410	1511	2165
411	1514	2161
412	1517	2156
413	1520	2152
414	1523	2147
415	1526	2143
416	1529	2138
417	1532	2134
418	1535	2129
419	1539	2125
420	1542	2121
421	1546	2117
422	1550	2114
423	1553	2110
424	1557	2106
425	1560	2102
426	1563	2097
427	1566	2093
428	1569	2088
429	1572	2084
430	1576	2080
431	1579	2076
432	1582	2072
433	1586	2068
434	1590	2065
435	1593	2060
436	1596	2056
437	1599	2052
438	1602	2047
439	1605	2043
440	1608	2039
441	1612	2035
442	1614	2030
443	1617	2026
444	1621	2022
445	1624	2017
446	1627	2013
447	1630	2009
448	1634	2005
449	1637	2000
450	1640	1996
451	1643	1992
452	1646	1987
453	1649	1983
454	1652	1978
455	1654	1974
456	1657	1969
457	1660	1965
458	1663	1960
459	1666	1956
460	1670	1953
461	1674	1949
462	1677	1945
463	1680	1941
464	1684	1937
465	1687	1933
466	1690	1929
467	1694	1925
468	1697	1922
469	1701	1918
470	1704	1914
471	1707	1909
472	1709	1905
473	1712	1900
474	1716	1896
475	1719	1892
476	1722	1888
477	1725	1884
478	1728	1879
479	1731	1875
480	1734	1871
481	1737	1867
482	1741	1863
483	1744	1859
484	1748	1856
485	1752	1853
486	1756	1850
487	1759	1845
488	1762	1841
489	1765	1837
490	1769	1833
491	1772	1830
492	1775	1826
493	1779	1822
494	1782	1818
495	1785	1813
496	1787	1809
497	1790	1805
498	1794	1801
499	1797	1797
500	1800	1793
501	1804	1789
502	1807	1785
503	1810	1781
504	1813	1777
505	1817	1773
506	1824	1774
507	1827	1770
508	1832	1767
509	1835	1763
510	1839	1760
511	1843	1756
512	1846	1752
513	1856	1755
514	1861	1752
515	1865	1749
516	1869	1746
517	1874	1744
518	1878	1740
519	1882	1737
520	1886	1734
521	1890	1730
522	1893	1726
523	1897	1723
524	1900	1719
525	1904	1715
526	1907	1711
527	1910	1708
528	1914	1704
529	1918	1700
530	1920	1696
531	1923	1692
532	1927	1688
533	1930	1684
534	1933	1680
535	1936	1675
536	1939	1671
537	1941	1667
538	1945	1663
539	1948	1659
540	1951	1655
541	1954	1651
542	1957	1647
543	1960	1643
544	1964	1640
545	1968	1637
546	1972	1633
547	1976	1629
548	1979	1626
549	1982	1622
550	1985	1618
551	1988	1614
552	1991	1609
553	1994	1605
554	1997	1601
555	2002	1599
556	2007	1596
557	2010	1592
558	2013	1588
559	2016	1584
560	2020	1581
561	2026	1579
562	2029	1575
563	2036	1574
564	2039	1570
565	2043	1566
566	2047	1563
567	2050	1559
568	2053	1555
569	2056	1551
570	2060	1548
571	2064	1544
572	2067	1540
573	2071	1537
574	2074	1533
575	2077	1529
576	2080	1525
577	2083	1521
578	2086	1516
579	2089	1512
580	2092	1509
581	2095	1505
582	2098	1500
583	2101	1496
584	2104	1492
585	2107	1488
586	2110	1484
587	2113	1480
588	2116	1476
589	2119	1472
590	2123	1469
591	2127	1465
592	2130	1462
593	2134	1458
594	2139	1456
595	2143	1453
596	2148	1450
597	2153	1447
598	2157	1444
599	2160	1440
600	2165	1437
601	2168	1433
602	2172	1430
603	2176	1427
604	2179	1423
605	2182	1419
606	2185	1415
607	2188	1411
608	2191	1407
609	2195	1403
610	2199	1400
611	2202	1396
612	2206	1392
613	2211	1390
614	2214	1386
615	2217	1382
616	2221	1378
617	2225	1375
618	2229	1371
619	2232	1368
620	2235	1364
621	2239	1360
622	2241	1356
623	2245	1352
624	2248	1349
625	2251	1344
626	2253	1340
627	2257	1337
628	2261	1333
629	2264	1329
630	2266	1325
631	2269	1321
632	2272	1317
633	2275	1313
634	2279	1309
635	2282	1306
636	2285	1302
637	2289	1298
638	2292	1295
639	2296	1291
640	2299	1287
641	2302	1283
642	2305	1279
643	2308	1275
644	2311	1272
645	2314	1268
646	2317	1264
647	2320	1260
648	2323	1256
649	2327	1253
650	2329	1249
651	2332	1245
652	2335	1241
653	2339	1237
654	2342	1233
655	2345	1229
656	2347	1225
657	2352	1222
658	2355	1218
659	2358	1215
660	2361	1211
661	2365	1207
662	2368	1203
663	2371	1200
664	2377	1197
665	2382	1194
666	2388	1192
667	2393	1189
668	2397	1186
669	2402	1183
670	2405	1179
671	2408	1175
672	2411	1171
673	2414	1167
674	2417	1163
675	2421	1160
676	2425	1156
677	2428	1153
678	2432	1149
679	2435	1145
680	2438	1142
681	2442	1138
682	2446	1135
683	2449	1131
684	2453	1128
685	2457	1124
686	2461	1121
687	2464	1117
688	2467	1113
689	2471	1110
690	2474	1106
691	2476	1102
692	2479	1098
693	2483	1094
694	2486	1091
695	2489	1087
696	2492	1083
697	2495	1079
698	2498	1076
699	2502	1072
700	2505	1068
701	2509	1065
702	2513	1061
703	2517	1058
704	2520	1054
705	2523	1050
706	2526	1047
707	2529	1043
708	2532	1039
709	2536	1035
710	2539	1032
711	2543	1028
712	2546	1025
713	2549	1021
714	2552	1017
715	2555	1013
716	2559	1010
717	2564	1007
718	2568	1003
719	2572	1000
720	2575	996
721	2580	993
722	2584	990
723	2588	986
724	2592	983
725	2595	979
726	2599	975
727	2603	972
728	2607	969
729	2611	966
730	2615	962
731	2619	959
732	2624	955
733	2627	952
734	2630	948
735	2633	944
736	2636	941
737	2640	937
738	2643	933
739	2646	929
740	2649	926
741	2653	922
742	2656	918
743	2661	915
744	2666	912
745	2671	909
746	2675	906
747	2679	902
748	2683	899
749	2688	896
750	2694	893
751	2699	890
752	2705	887
753	2708	883
754	2712	880
755	2716	876
756	2720	873
757	2725	870
758	2729	866
759	2735	863
760	2739	860
761	2743	856
762	2747	853
763	2750	849
764	2755	846
765	2758	842
766	2762	839
767	2766	835
768	2770	832
769	2774	828
770	2778	825
771	2782	821
772	2785	817
773	2788	814
774	2791	810
775	2794	806
776	2798	803
777	2801	799
778	2804	795
779	2807	791
780	2809	787
781	2812	784
782	2815	780
783	2818	776
784	2821	772
